pickup_date,day of week,avg fares,total fares,tip percentage,duration,frequency_of_rides,avg trip distance,tip amount avg,avg passengers,sum of passengers,avg fare per mile,Bronx_Pickups,Brooklyn_Pickups,EWR_Pickups,Manhattan_Pickups,Queens_Pickups,Staten Island_Pickups,Unknown_Pickups,Bronx_Dropoffs,Brooklyn_Dropoffs,EWR_Dropoffs,Manhattan_Dropoffs,Queens_Dropoffs,Staten Island_Dropoffs,Unknown_Dropoffs
2014-01-28,Tuesday,11.674616403514639,5411733.41,12.828188260663046,12.57249538162617,463547,2.6007259026592773,1.4976417709531071,1.6488101530157675,764301,6.242214291614517,172.0,7698.0,3.0,431805.0,17162.0,4.0,6475.0,1729.0,20885.0,371.0,415792.0,17215.0,91.0,6490.0
2014-01-29,Wednesday,11.938980963377446,5645681.44,12.955580433882929,13.0747434503896,472878,2.6549271270814034,1.546764281696336,1.655416407614649,782810,6.290713048816313,229.0,8462.0,2.0,440832.0,16845.0,6.0,6286.0,1914.0,22635.0,473.0,421846.0,18573.0,97.0,6300.0
2014-01-30,Thursday,12.30691115415987,6035309.23,12.895173558488898,13.606635739532356,490400,2.7409632544861338,1.5869975530179445,1.6564722675367047,812334,6.306138604027719,150.0,8567.0,3.0,456910.0,18010.0,4.0,6546.0,1968.0,23572.0,514.0,435652.0,20816.0,131.0,6584.0
2014-01-31,Friday,12.244090815729107,6378497.89,12.316429095816478,13.325065505955523,520945,2.762136329171026,1.508034763746653,1.6908272466383207,880828,6.148547354631672,297.0,11115.0,2.0,483618.0,18765.0,9.0,6917.0,2472.0,26334.0,533.0,461491.0,22024.0,117.0,6933.0
2014-02-01,Saturday,11.650807776213068,6147071.04,11.390007947589947,12.117921983893376,527609,2.695802346055507,1.3270279316690958,1.7669239910615626,932245,5.737728375146001,310.0,17846.0,3.0,488862.0,13761.0,4.0,6624.0,2834.0,33037.0,349.0,463979.0,19570.0,101.0,6705.0
2014-02-02,Sunday,11.78642763457967,5400812.23,11.723031704066482,10.891152342854898,458223,2.972488133507048,1.381726648378628,1.7448753118023321,799542,5.210179612856453,289.0,18781.0,8.0,415703.0,17665.0,8.0,5582.0,2793.0,33337.0,402.0,391970.0,22865.0,95.0,5651.0
2014-02-03,Monday,11.93480260475951,4508610.38,12.417122190984266,11.996088801828273,377770,2.907544855335257,1.4819590226857613,1.6765518701855626,633351,5.7269866813856405,212.0,7395.0,6.0,346345.0,19293.0,2.0,4284.0,1789.0,18072.0,1084.0,331438.0,20083.0,72.0,4281.0
2014-02-04,Tuesday,12.05873790250845,5422573.26,12.880821641494983,13.075599796892606,449680,2.7752575831702546,1.5532645214374665,1.6516789717132183,742727,5.971754188998614,212.0,7441.0,8.0,417406.0,18503.0,0.0,5929.0,1793.0,20242.0,706.0,400023.0,19863.0,91.0,6001.0
2014-02-05,Wednesday,11.53552667912359,4728943.02,12.916908649916447,12.723997754175754,409946,2.585300746927644,1.4900334434291345,1.669371087899382,684352,6.102595104442293,327.0,8271.0,2.0,382605.0,13599.0,8.0,4964.0,1655.0,21022.0,382.0,366340.0,14636.0,74.0,5058.0
2014-02-06,Thursday,12.792048224298275,6061755.1,12.878080970311718,14.700352945645315,473869,2.831349001517297,1.6473703280864542,1.6614634002224244,787316,6.326615265256412,273.0,10203.0,2.0,438117.0,19066.0,4.0,5992.0,2169.0,24246.0,658.0,416969.0,22545.0,116.0,6054.0
2014-02-07,Friday,12.56851438783642,6371683.78,12.365716617531197,14.32708206760876,506956,2.7797100734580513,1.5541868722334877,1.69011511847182,856814,6.245758724484844,336.0,11977.0,2.0,469672.0,18005.0,2.0,6648.0,2449.0,26890.0,635.0,445820.0,23311.0,91.0,6745.0
2014-02-08,Saturday,11.449125178776926,6228026.42,11.447695175320082,12.010340935412355,543974,2.63839166945479,1.310660950707203,1.761587870008493,958258,5.766953679577902,333.0,19758.0,3.0,501290.0,14385.0,1.0,7942.0,2682.0,34981.0,424.0,476332.0,20596.0,97.0,8041.0
2014-02-09,Sunday,11.825576571278528,5449450.37,11.788347932050256,11.417424158581424,460819,2.9531849815220292,1.394040111193332,1.7403644380982555,801993,5.36953437659944,390.0,18358.0,5.0,416373.0,18653.0,7.0,6840.0,2660.0,33214.0,612.0,392385.0,24097.0,91.0,6916.0
2014-02-10,Monday,12.07752552102775,5209169.61,12.60857793417097,12.793012118865505,431311,2.806917073758842,1.5228042178381724,1.6486155001843217,711066,5.93344955650416,224.0,7291.0,3.0,396430.0,20974.0,5.0,6135.0,1844.0,19540.0,530.0,383732.0,18455.0,84.0,6189.0
2014-02-11,Tuesday,12.03853887988772,5832732.28,12.742150750659862,13.499205752950607,484505,2.6421686669900204,1.5339687722520925,1.6595742046005717,804072,6.249329504308133,265.0,8338.0,5.0,452207.0,16499.0,5.0,6955.0,1981.0,22079.0,447.0,434304.0,17664.0,96.0,6993.0
2014-02-12,Wednesday,12.43503298561219,5928066.23,12.803138334707842,14.022749129648314,476723,2.730594580081095,1.5920744751144795,1.6443972705323637,783922,6.369065910196946,370.0,9372.0,6.0,444034.0,15714.0,4.0,6962.0,2375.0,23999.0,714.0,419408.0,22052.0,87.0,7022.0
2014-02-13,Thursday,11.09035568730309,3572924.44,12.763523205097501,11.336429055504684,322165,2.652971800164512,1.4155201216767805,1.6942591529185356,545831,5.717279551945956,296.0,8417.0,7.0,297807.0,11506.0,6.0,3928.0,1739.0,19225.0,543.0,281250.0,14656.0,59.0,4000.0
2014-02-14,Friday,12.652707555266385,5911813.12,12.098584740107617,14.207875874556168,467237,2.894243050100912,1.5307985454919024,1.7063289080274036,797260,6.171325883767961,580.0,13561.0,9.0,423686.0,22723.0,5.0,6383.0,2849.0,25306.0,900.0,406894.0,23834.0,83.0,6441.0
2014-02-15,Saturday,11.486497932842594,5581668.4,10.924836201304972,11.724515759717217,485933,2.7566661041748555,1.254881084429335,1.7849991665517675,867390,5.631066272566638,545.0,18765.0,5.0,442096.0,17564.0,4.0,6772.0,3578.0,32506.0,521.0,419445.0,22148.0,91.0,6871.0
2014-02-16,Sunday,11.626861880238222,5253562.66,11.06581700121951,11.19396274255076,451847,2.884296033834462,1.2866072586517117,1.7761808753848094,802562,5.4009588688584875,579.0,18615.0,2.0,407523.0,18510.0,1.0,6421.0,3115.0,31977.0,648.0,385097.0,23597.0,70.0,6472.0
2014-02-17,Monday,11.97389931531103,4632593.88,11.65968470346466,11.339782608882949,386891,3.031173741441388,1.39611890687558,1.7093522464983677,661333,5.416140933061622,444.0,9942.0,16.0,349039.0,21391.0,7.0,5821.0,2282.0,22012.0,676.0,334122.0,21067.0,58.0,5878.0
2014-02-18,Tuesday,12.050186209421764,5002321.5,12.484140213698778,12.683573020752032,415124,2.829963408523718,1.504362142396007,1.669327718946628,692978,5.907146539933901,253.0,7092.0,5.0,382416.0,19271.0,2.0,5896.0,1930.0,19878.0,492.0,367545.0,18410.0,79.0,5976.0
2014-02-19,Wednesday,12.714435999093793,5612152.05,12.47355922938688,14.492012271560188,441400,2.794252990484821,1.5859427050294517,1.6654077933846851,735111,6.388902149379048,295.0,8080.0,4.0,408724.0,18289.0,2.0,5850.0,2020.0,21706.0,473.0,389572.0,20679.0,94.0,5943.0
2014-02-20,Thursday,12.694681935718997,5851943.7,12.415107992238545,14.326990631471775,460976,2.8638773168234355,1.576058471590712,1.66887213217174,769310,6.180685849233823,303.0,9444.0,6.0,426031.0,18984.0,2.0,5985.0,2371.0,24133.0,546.0,404407.0,22328.0,109.0,6028.0
2014-02-21,Friday,12.144413893635264,6048416.04,12.225242032127142,13.303405777168278,498041,2.77531209277951,1.4846839918801866,1.6921377958842745,842754,6.007859921078293,332.0,10413.0,6.0,462385.0,18140.0,4.0,6525.0,2665.0,25543.0,599.0,438930.0,22563.0,105.0,6599.0
2014-02-22,Saturday,11.919119387393184,6149776.92,11.231786111682244,12.44262887167391,515959,2.822654319432358,1.3387299959880534,1.7673070922301966,911858,5.64402006978025,549.0,19410.0,5.0,471572.0,17221.0,9.0,7005.0,3370.0,34428.0,463.0,446413.0,23183.0,120.0,7067.0
2014-02-23,Sunday,12.485057405202417,5452474.27,11.47678024714457,12.032266517066619,436720,3.163152523355926,1.4328826021249312,1.7425879281919765,761023,5.260582555632787,539.0,18038.0,5.0,390104.0,21464.0,3.0,6381.0,3544.0,32941.0,651.0,365579.0,26448.0,100.0,6463.0
2014-02-24,Monday,12.010938276094619,5218356.32,12.479139791665279,12.389008984955511,434467,2.878969887241148,1.4988617777644793,1.6516835570940946,717602,5.76518454707667,238.0,7656.0,1.0,397113.0,22790.0,3.0,6472.0,2085.0,20797.0,482.0,384540.0,18978.0,98.0,6560.0
2014-02-25,Tuesday,11.81617800811755,5519762.13,12.744888700484635,12.568756814575055,467136,2.7236387476024113,1.5059587357857243,1.658868081244006,774917,5.945664290269758,226.0,8146.0,4.0,432914.0,18670.0,1.0,7018.0,1961.0,22215.0,421.0,414830.0,19541.0,82.0,7090.0
2014-02-26,Wednesday,11.885716471575163,5794869.18,12.87496761057167,12.57358867177111,487549,2.739440835690361,1.5302821459996843,1.6533661231999246,806097,6.014160228163636,292.0,9088.0,8.0,452863.0,18023.0,1.0,7070.0,2295.0,24496.0,555.0,431186.0,20767.0,95.0,7118.0
2014-02-27,Thursday,12.191808711167957,6176821.39,12.82275656023138,13.246519730431585,506637,2.790059825871383,1.5633259513221498,1.6650086748500406,843555,6.057153280852739,280.0,10495.0,4.0,468283.0,19944.0,6.0,7346.0,2300.0,26078.0,580.0,445621.0,23400.0,126.0,7354.0
2014-02-28,Friday,12.200546628514095,6566212.19,12.28755539196183,13.393282236137175,538190,2.7886940114086105,1.4991489251008008,1.681759230011706,905106,6.0380251093217465,431.0,13197.0,8.0,494686.0,21194.0,2.0,8372.0,2998.0,28868.0,804.0,470461.0,25398.0,109.0,8457.0
2014-03-01,Saturday,11.84119049659173,6495117.97,11.250550234424765,12.310188252366828,548519,2.7911317566027796,1.332199085172984,1.759012905660515,964852,5.615206258199717,544.0,25585.0,3.0,497027.0,16864.0,9.0,8260.0,3441.0,42971.0,461.0,469503.0,22814.0,96.0,8312.0
2014-03-02,Sunday,12.25927718343076,5593209.4,11.541239632472903,11.39196853431176,456243,3.1401797507030245,1.4148725569488187,1.7316978013909254,790075,5.221236348466275,501.0,20820.0,4.0,406536.0,21180.0,5.0,7052.0,3322.0,37343.0,668.0,379906.0,26928.0,90.0,7096.0
2014-03-03,Monday,11.264143956525627,5165387.23,12.327486626786738,10.862865166783335,458569,2.7469253045888404,1.3885858398627033,1.6585617431618798,760565,5.589644244781443,274.0,9395.0,1.0,421177.0,20505.0,1.0,7083.0,2107.0,22878.0,435.0,406980.0,18232.0,60.0,7112.0
2014-03-04,Tuesday,11.819873363143735,5839147.46,12.618814219841607,12.479183864326908,494011,2.7324464435002462,1.4915278607156521,1.6572181591098174,818684,5.997514938189543,215.0,8226.0,2.0,457102.0,20650.0,3.0,7691.0,2123.0,22945.0,458.0,439599.0,20170.0,98.0,7722.0
2014-03-05,Wednesday,12.096098853480902,6085402.18,12.710998502978155,12.864762460378037,503088,2.7950362163279583,1.5375349441847153,1.6603337785834684,835294,5.965466272383679,220.0,9109.0,2.0,466657.0,19508.0,10.0,7410.0,2278.0,24636.0,554.0,444706.0,22364.0,126.0,7430.0
2014-03-06,Thursday,12.35060578949272,6488156.09,12.659088631759474,13.484358115803813,525331,2.8182999861039995,1.5634741334511004,1.673364031439226,879070,6.084568362483103,264.0,9908.0,1.0,486473.0,20390.0,5.0,8020.0,2398.0,26106.0,695.0,461992.0,24737.0,120.0,8110.0
2014-03-07,Friday,12.315408637014455,6666022.81,12.131022245931979,13.404102135390206,541275,2.8197118285529537,1.493984961433652,1.6869816636644959,913121,5.997142528608111,321.0,11920.0,5.0,499791.0,20857.0,6.0,8192.0,2694.0,27897.0,693.0,475017.0,25607.0,101.0,8234.0
2014-03-08,Saturday,11.947964226449692,6516120.99,11.017890108268233,12.444519856367942,545375,2.809942809993124,1.3164135686454275,1.764484987393995,962306,5.6360954691334415,442.0,20272.0,2.0,498930.0,17179.0,7.0,8382.0,3311.0,36322.0,585.0,471949.0,23809.0,112.0,8456.0
2014-03-09,Sunday,12.57328138909813,5875444.1,11.195596091195899,12.903123609018694,467296,3.1583728086694514,1.4076537997329315,1.7477316304868862,816708,5.342770753410181,480.0,18957.0,4.0,416673.0,23826.0,5.0,7127.0,3298.0,33742.0,813.0,392524.0,28670.0,85.0,7188.0
2014-03-10,Monday,12.2804784278561,5368546.23,12.22347506915294,12.535850445640547,437161,2.9552885092677523,1.501101219001695,1.6621359178883752,726621,5.763391242563604,307.0,7191.0,1.0,398864.0,23619.0,0.0,6978.0,2225.0,19942.0,584.0,385917.0,20442.0,74.0,7020.0
2014-03-11,Tuesday,12.333892440001682,5574561.7,12.450976190648316,13.172097693583586,451971,2.8437170968933847,1.535690011084782,1.657785565888077,749271,6.010614501363844,217.0,7200.0,2.0,418760.0,18755.0,5.0,6815.0,2199.0,20793.0,512.0,401029.0,19548.0,92.0,6865.0
2014-03-12,Wednesday,12.28495163902783,5855302.79,12.709245220775339,13.201445828717537,476624,2.8355913466380205,1.5613246290577059,1.6630740373963544,792661,6.034257788121918,260.0,8545.0,3.0,442858.0,18160.0,4.0,6613.0,2455.0,23186.0,689.0,420420.0,22022.0,89.0,6622.0
